"sample","PC1","PC2","PC3","group","database"
"GSE78097|GSM2066657",9.77310825501394,-9.03310610170159,-4.51165993513937,"PP","GSE78097"
"GSE78097|GSM2066658",8.57197873672198,7.76702013838101,-12.4577762256453,"PP","GSE78097"
"GSE78097|GSM2066659",25.7299761495994,7.64196494864315,-15.8630997348255,"PP","GSE78097"
"GSE78097|GSM2066660",-2.88204150534676,-7.50127265162556,-14.6941545084388,"PP","GSE78097"
"GSE78097|GSM2066661",13.7944323424325,0.157646291418748,9.07650843044066,"PP","GSE78097"
"GSE78097|GSM2066662",-72.5573627334625,-10.5657387533835,19.5405149215239,"NN","GSE78097"
"GSE78097|GSM2066663",-90.3216368167771,1.94664748565993,10.7626354045516,"NN","GSE78097"
"GSE78097|GSM2066664",-85.6221938254996,-3.20528247133925,30.9995832393936,"NN","GSE78097"
"GSE78097|GSM2066665",-67.1152374667209,-8.26038171377342,27.4023316097731,"NN","GSE78097"
"GSE78097|GSM2066666",-93.0916060186611,-0.029984723461831,14.3713947657835,"NN","GSE78097"
"GSE78097|GSM2066667",-89.1186381722532,-5.78295083402302,57.0106580002973,"NN","GSE78097"
